Gene	Pathway	Annotation	KO	Annotation	COG	Annotation
bluB	Post-Adocbi-P	"5,6-dimethylbenzimidazole synthase"	K04719	"5,6-dimethylbenzimidazole synthase"		
btuB	Salvage	Vitamin B12 transporter BtuB	K16092	Vitamin B12 transporter	COG4206	Outer membrane cobalamin receptor protein
btuC	Salvage	Vitamin B12 import system permease protein BtuC	K06073	Vitamin B12 transport system permease protein	COG4139	"ABC-type cobalamin transport system, permease component"
btuD	Salvage	Vitamin B12 import ATP-binding protein BtuD	K06074	Vitamin B12 transport system ATP-binding protein	COG4138	"ABC-type cobalamin transport system, ATPase component"
btuF	Salvage	Vitamin B12-binding protein	K06858	Vitamin B12 transport system substrate-binding protein		
btuR	Anaerobic	Cob(I)alamin adenosyltransferase	K19221	Cob(I)alamin adenosyltransferase	COG2109	ATP:corrinoid adenosyltransferase
cbiA	Anaerobic	"Cobyrinate a,c-diamide synthase"	K02224	"Cobyrinic acid a,c-diamide synthase"	COG1797	"Cobyrinic acid a,c-diamide synthase"
cbiB	"Anaerobic,Salvage"	Cobalamin biosynthesis protein CbiB	K02227	Adenosylcobinamide-phosphate synthase	COG1270	Cobalamin biosynthesis protein CobD/CbiB
cbiC	Anaerobic	Cobalt-precorrin-8 methylmutase	K06042	Precorrin-8X/cobalt-precorrin-8 methylmutase	COG2082	Precorrin-8X methylmutase activity
cbiD	Anaerobic	Cobalt-precorrin-5B C(1)-methyltransferase	K02188	Cobalt-precorrin-5B (C1)-methyltransferase	COG1903	Cobalamin biosynthesis protein CbiD
cbiE	Anaerobic	Cobalt-precorrin-7 C(5)-methyltransferase	K03399	Cobalt-precorrin-7 (C5)-methyltransferase		
cbiF	Anaerobic	Cobalt-precorrin-4 C(11)-methyltransferase	K05936	Precorrin-4/cobalt-precorrin-4 C11-methyltransferase	COG2875	Precorrin-4 methylase
cbiG	Anaerobic	Cobalt-precorrin-5A hydrolase	K02189	Cobalt-precorrin 5A hydrolase	COG2073	Cobalamin biosynthesis protein CbiG
cbiH	Anaerobic	Cobalt-factor III C(17)-methyltransferase	K05934	Precorrin-3B C17-methyltransferase	COG1010	Precorrin-3B methylase
