#random sampling: 12500
Tax	ERR315856	ERR315858	ERR315857
Acidobacteriia	0	1	0
Actinobacteria	29	20	20
Alphaproteobacteria	1268	1501	1615
Aquificae	3	1	3
Ardenticatenia	1	0	0
Bacilli	135	139	129
Bacteroidia	6	18	20
Betaproteobacteria	69	63	59
Calditrichae	3	0	0
Candidatus Babeliae	1	0	0
Chitinophagia	4	11	8
Chlamydiia	3	3	3
Chlorobia	1	1	1
Clostridia	83	121	132
Coriobacteriia	1	1	0
Cytophagia	15	17	27
Deferribacteres	2	1	3
Dehalococcoidia	0	0	1
Deinococci	1	0	0
Deltaproteobacteria	7	14	13
Dictyoglomia	0	0	1
Endomicrobia	0	1	0
Epsilonproteobacteria	59	93	78
Erysipelotrichia	2	5	6
Flavobacteriia	263	224	325
Fusobacteriia	16	23	12
Gammaproteobacteria	1728	620	705
Halobacteria	0	1	0
Ignavibacteria	1	1	1
Methanobacteria	1	1	1
Methanococci	2	1	0
Methanomicrobia	4	0	2
Methylacidiphilae	0	2	1
Mollicutes	37	68	70
Negativicutes	1	4	2
Nitrospira	1	4	2
Oligoflexia	11	10	0
Opitutae	1	0	0
Planctomycetia	4	2	1
Saprospiria	0	1	0
Sphingobacteriia	10	20	12
Spirochaetia	6	11	20
Synergistia	0	1	0
Thermodesulfobacteria	1	3	3
Thermoprotei	1	1	0
Thermotogae	6	15	6
Tissierellia	4	7	7
