#random sampling: 12500
Tax	ERR315856	ERR315858	ERR315857
Acaryochloridaceae	0	0	1
Acetobacteraceae	13	16	23
Acholeplasmataceae	1	0	2
Acidaminococcaceae	0	1	0
Acidiferrobacteraceae	0	1	0
Acidobacteriaceae	0	1	0
Actinomycetaceae	3	1	0
Aerococcaceae	2	0	1
Aeromonadaceae	3	3	1
Alcaligenaceae	7	2	7
Alcanivoracaceae	1	3	2
Alicyclobacillaceae	0	0	1
Alteromonadaceae	1221	50	265
Anaplasmataceae	19	29	20
Aphanizomenonaceae	4	2	1
Aphanothecaceae	2	4	2
Aquificaceae	2	0	0
Ardenticatenaceae	1	0	0
Aurantimonadaceae	1	0	0
Bacillaceae	35	48	47
Bacteriovoracaceae	3	0	0
Bacteroidaceae	1	6	1
Bartonellaceae	15	40	17
Bdellovibrionaceae	1	0	0
Beijerinckiaceae	0	0	1
Bifidobacteriaceae	0	0	1
Blattabacteriaceae	26	36	27
Borreliaceae	1	2	8
Brachyspiraceae	3	1	2
Bradyrhizobiaceae	15	11	4
Brevibacteriaceae	1	0	1
Brucellaceae	2	1	1
Budviciaceae	0	1	0
Burkholderiaceae	19	15	11
Caedimonadaceae	1	2	1
Calditrichaceae	3	0	0
Calotrichaceae	4	1	1
Campylobacteraceae	48	75	62
Candidatus Babeliaceae	1	0	0
Candidatus Deianiraeaceae	1	1	2
Candidatus Desulfofervidaceae	0	0	1
Candidatus Midichloriaceae	0	1	0
Candidatus Nanopelagicaceae	0	3	5
Candidatus Paracaedibacteraceae	0	1	2
Cardiobacteriaceae	0	0	1
Carnobacteriaceae	2	1	3
Caulobacteraceae	1	1	1
Cellvibrionaceae	4	5	3
Chamaesiphonaceae	0	1	1
Chelatococcaceae	0	0	1
Chitinophagaceae	4	11	8
Chlamydiaceae	3	3	2
Chlorobiaceae	1	1	1
Chromatiaceae	7	0	1
Chromobacteriaceae	3	1	1
Chroococcaceae	1	3	3
Clostridiaceae	55	63	72
Clostridiales Family XIII. Incertae Sedis	1	0	2
Cohaesibacteraceae	1	0	0
Colwelliaceae	8	13	7
Comamonadaceae	4	4	2
Corynebacteriaceae	2	4	2
Coxiellaceae	3	5	5
Crocinitomicaceae	1	0	0
Cyanobacteriaceae	0	2	0
Cyclobacteriaceae	2	5	8
Cytophagaceae	4	4	3
Deferribacteraceae	2	1	3
Dehalococcoidaceae	0	0	1
Deinococcaceae	1	0	0
Dermabacteraceae	0	0	1
Dermocarpellaceae	0	1	1
Desulfobacteraceae	1	2	2
Desulfobulbaceae	1	4	4
Desulfomicrobiaceae	0	1	0
Desulfovibrionaceae	1	2	1
Desulfurellaceae	2	1	0
Desulfuromonadaceae	0	0	1
Dictyoglomaceae	0	0	1
Dysgonomonadaceae	0	0	4
Ectothiorhodospiraceae	4	3	1
Eggerthellaceae	1	1	0
Emcibacteraceae	1	0	0
Endomicrobiaceae	0	1	0
Enterobacteriaceae	31	31	38
Enterococcaceae	5	7	11
Entomoplasmataceae	3	1	2
Erwiniaceae	38	61	63
Erysipelotrichaceae	2	5	6
Erythrobacteraceae	5	4	4
Eubacteriaceae	0	3	1
Ferrimonadaceae	1	1	0
Fervidobacteriaceae	4	5	3
Flammeovirgaceae	2	2	5
Flavobacteriaceae	196	154	246
Francisellaceae	9	9	14
Fulvivirgaceae	0	1	0
Fusobacteriaceae	12	15	10
Gallionellaceae	2	0	0
Geobacteraceae	1	0	0
Gloeomargaritaceae	0	0	1
Gomontiellaceae	0	2	0
Gordoniaceae	1	0	0
Gottschalkiaceae	2	0	1
Hafniaceae	0	2	1
Hahellaceae	3	1	3
Halanaerobiaceae	3	2	2
Halieaceae	10	3	0
Haliscomenobacteraceae	0	1	0
Halobacteriaceae	0	1	0
Halobacteriovoraceae	4	7	0
Halobacteroidaceae	0	3	0
Halomonadaceae	16	25	20
Helicobacteraceae	5	7	5
Holosporaceae	3	5	3
Hungateiclostridiaceae	0	3	3
Hydrogenothermaceae	1	1	3
Hyellaceae	0	1	0
Hymenobacteraceae	4	4	5
Hyphomicrobiaceae	2	7	2
Hyphomonadaceae	3	2	1
Idiomarinaceae	0	4	3
Ignavibacteriaceae	1	1	1
Intrasporangiaceae	1	1	0
Isosphaeraceae	1	0	0
Kangiellaceae	1	4	0
Kosmotogaceae	0	1	0
Lachnospiraceae	6	5	12
Lacipirellulaceae	2	1	0
Lactobacillaceae	14	18	8
Legionellaceae	13	26	17
Leptolyngbyaceae	1	1	1
Leptospiraceae	1	7	5
Leptotrichiaceae	4	8	2
Leuconostocaceae	4	1	6
Listeriaceae	6	5	0
Litoricolaceae	0	2	0
Marinifilaceae	1	2	5
Marinilabiliaceae	0	0	1
Marivirgaceae	0	1	3
Methanobacteriaceae	1	1	1
Methanocaldococcaceae	2	1	0
Methanomicrobiaceae	1	0	0
Methanosarcinaceae	2	0	2
Methanospirillaceae	1	0	0
Methylacidiphilaceae	0	2	1
Methylobacteriaceae	0	4	0
Methylococcaceae	1	3	1
Methylocystaceae	0	2	1
Methylophilaceae	2	12	3
Microbacteriaceae	0	3	4
Microbulbiferaceae	2	5	1
Micrococcaceae	0	1	1
Microcoleaceae	1	1	2
Microcystaceae	1	0	2
Micromonosporaceae	0	0	1
Moraxellaceae	21	23	21
Morganellaceae	11	10	12
Moritellaceae	1	3	0
Mycobacteriaceae	4	1	0
Mycoplasmataceae	25	49	43
Nakamurellaceae	0	1	0
Natranaerobiaceae	0	0	1
Nautiliaceae	0	4	4
Neisseriaceae	11	3	4
Nitrosomonadaceae	5	4	6
Nitrosopumilaceae	1	16	9
Nitrospiraceae	1	4	2
Nocardioidaceae	1	1	0
Nostocaceae	6	7	3
Oceanospirillaceae	7	10	5
Odoribacteraceae	0	2	2
Oleiphilaceae	1	0	0
Opitutaceae	1	0	0
Orbaceae	3	2	0
Oscillatoriaceae	3	0	2
Oxalobacteraceae	1	2	6
Paenibacillaceae	11	13	6
Paludibacteraceae	0	1	2
Parachlamydiaceae	0	0	1
Parvularculaceae	1	0	1
Pasteurellaceae	15	19	9
Pectobacteriaceae	3	2	2
Pelagibacteraceae	1016	1137	1369
Peptococcaceae	6	6	11
Peptoniphilaceae	0	5	5
Peptostreptococcaceae	6	16	6
Petrotogaceae	2	4	2
Phyllobacteriaceae	9	9	7
Pirellulaceae	1	1	0
Piscirickettsiaceae	10	5	10
Planctomycetaceae	0	0	1
Planococcaceae	4	6	7
Porphyromonadaceae	0	0	1
Prevotellaceae	2	3	1
Prochloraceae	1355	333	569
Prolixibacteraceae	1	1	0
Propionibacteriaceae	7	1	1
Pseudanabaenaceae	0	2	0
Pseudoalteromonadaceae	25	78	32
Pseudomonadaceae	28	25	16
Psychromonadaceae	2	3	1
Rhizobiaceae	9	30	18
Rhodanobacteraceae	1	0	0
Rhodobacteraceae	47	54	48
Rhodobiaceae	2	1	1
Rhodospirillaceae	9	10	4
Rhodothermaceae	0	1	0
Rickettsiaceae	11	21	18
Rivulariaceae	2	1	2
Roseivirgaceae	3	0	0
Ruaniaceae	1	0	0
Ruminococcaceae	0	2	0
Saccharospirillaceae	2	1	1
Schleiferiaceae	1	0	0
Scytonemataceae	2	1	1
Shewanellaceae	30	20	25
Silvanigrellaceae	0	1	0
Sphingobacteriaceae	10	20	12
Sphingomonadaceae	16	22	9
Spirochaetaceae	1	1	5
Spiroplasmataceae	5	12	15
Spongiibacteraceae	3	2	3
Sporomusaceae	0	2	1
Staphylococcaceae	20	20	13
Steroidobacteraceae	0	1	0
Sterolibacteriaceae	0	0	1
Streptococcaceae	18	11	12
Streptomycetaceae	4	1	2
Succinivibrionaceae	0	1	1
Sulfolobaceae	0	1	0
Sulfuricellaceae	0	0	2
Sulfurovaceae	0	1	0
Synechococcaceae	267	142	108
Synergistaceae	0	1	0
Syntrophaceae	0	1	1
Tenuifilaceae	1	0	1
Tepidanaerobacteraceae	0	1	0
Thermoanaerobacteraceae	1	3	1
Thermoanaerobacterales Family III. Incertae Sedis	4	8	11
Thermodesulfobacteriaceae	1	3	3
Thermodesulfobiaceae	0	4	1
Thermomonosporaceae	0	0	1
Thermoproteaceae	1	0	0
Thermosediminibacteraceae	0	0	1
Thermotogaceae	0	5	1
Thioalkalibacteraceae	0	1	0
Thiotrichaceae	2	5	0
Thiovulaceae	4	3	2
Tissierellaceae	1	0	0
Tolypothrichaceae	1	0	0
Veillonellaceae	1	1	1
Vibrionaceae	45	33	29
Weeksellaceae	26	20	29
Xanthobacteraceae	1	3	0
Xanthomonadaceae	2	5	1
Yersiniaceae	6	9	3
Zoogloeaceae	1	1	0
