#random sampling: 12500
Tax	ERR315856	ERR315858	ERR315857
Acaryochloris	0	0	1
Acetilactobacillus	0	1	0
Acetobacter	4	3	5
Acetobacterium	0	1	1
Acetohalobium	0	2	0
Acholeplasma	0	0	2
Achromobacter	3	0	1
Acidovorax	1	1	0
Acinetobacter	17	14	17
Actinobacillus	0	1	1
Actinomadura	0	0	1
Actinomyces	3	1	0
Adhaeribacter	0	1	2
Aequorivita	2	2	2
Aeribacillus	0	2	0
Aerococcus	2	0	1
Aeromonas	3	0	0
Agarilytica	2	3	1
Agarivorans	2	0	1
Aggregatibacter	1	0	0
Agrobacterium	2	1	2
Agromyces	0	0	1
Alcanivorax	1	1	0
Algibacter	3	4	7
Algoriphagus	0	1	2
Aliiarcobacter	3	1	1
Aliivibrio	1	3	1
Alkalihalobacillus	1	0	1
Alkaliphilus	0	1	0
Alkalitalea	0	0	1
Allofrancisella	1	1	0
Altererythrobacter	3	2	0
Alteromonas	1189	29	242
Amedibacterium	0	1	0
Aminipila	1	0	1
Aminobacter	1	0	0
Amniculibacterium	0	1	0
Anabaena	0	1	0
Anaerobutyricum	0	1	3
Anaerococcus	0	2	1
Anaerocolumna	1	0	1
Anaerostipes	0	0	2
Anaerotignum	2	0	0
Anaplasma	0	2	0
Ancylobacter	1	1	0
Aneurinibacillus	1	0	0
Anoxybacillus	1	0	1
Anoxybacter	0	0	1
Antarcticibacterium	2	1	1
Apibacter	7	3	3
Aquicella	0	1	3
Aquiflexum	0	1	0
Aquimarina	8	9	2
Arachidicoccus	2	4	4
Arcobacter	6	12	13
Arcticibacterium	0	0	1
Arenibacter	1	1	1
Arsenophonus	3	2	1
Arthrobacter	0	0	1
Asaia	0	1	0
Aurantimicrobium	0	0	1
Aureitalea	0	0	1
Auricoccus	1	0	1
Avibacterium	0	1	0
Azospirillum	1	0	0
Bacillus	24	24	25
Bacterioplanes	0	1	0
Bacteriovorax	3	0	0
Bacteroides	1	6	1
Bartonella	15	40	17
Bdellovibrio	1	0	0
Beggiatoa	1	1	0
Belliella	0	1	5
Bergeyella	1	0	0
Bibersteinia	1	1	0
Bisgaardia	1	1	1
Blattabacterium	26	36	27
Blautia	0	0	1
Bombella	0	0	1
Bordetella	3	1	0
Borrelia	1	1	6
Borreliella	0	1	0
Bosea	0	1	0
Boseongicola	0	1	0
Brachybacterium	0	0	1
Brachyspira	3	1	2
Bradyrhizobium	7	5	3
Brasilonema	2	1	0
Brenneria	1	0	0
Brevibacillus	0	1	0
Brevibacterium	1	0	1
Brochothrix	1	0	0
Brucella	2	0	0
Buchnera	28	47	48
Burkholderia	3	3	1
Butyricimonas	0	2	2
Butyrivibrio	0	0	1
Bythopirellula	2	1	0
Caldicellulosiruptor	3	5	8
Calditerrivibrio	0	1	0
Caldithrix	3	0	0
Caloramator	0	1	1
Caloranaerobacter	1	0	2
Calothrix	4	1	1
Caminibacter	0	1	2
Campylobacter	24	45	33
Candidatus Arthromitus	2	2	1
Candidatus Atelocyanobacterium	0	0	1
Candidatus Azobacteroides	0	3	1
Candidatus Babela	1	0	0
Candidatus Blochmannia	0	2	4
Candidatus Carsonella	7	5	7
Candidatus Cytomitobacter	2	3	2
Candidatus Deianiraea	1	1	2
Candidatus Desulfofervidus	0	0	1
Candidatus Endolissoclinum	1	4	1
Candidatus Evansia	2	1	0
Candidatus Fonsibacter	19	20	17
Candidatus Gullanella	0	0	1
Candidatus Hamiltonella	0	0	2
Candidatus Hoaglandella	1	0	1
Candidatus Hodgkinia	2	3	0
Candidatus Ishikawaella	0	3	0
Candidatus Izimaplasma	2	0	2
Candidatus Kinetoplastibacterium	7	14	12
Candidatus Methylopumilus	1	5	2
Candidatus Midichloria	0	1	0
Candidatus Mikella	1	1	0
Candidatus Moranella	0	0	1
Candidatus Nanopelagicus	0	0	2
Candidatus Nardonella	3	0	2
Candidatus Nasuia	0	1	0
Candidatus Nitrosomarinus	0	13	5
Candidatus Nitrosopelagicus	13	2	5
Candidatus Nitrosotalea	1	0	0
Candidatus Nucleicultrix	1	2	1
Candidatus Paracaedibacter	0	1	2
Candidatus Pelagibacter	908	916	1130
Candidatus Phaeomarinobacter	1	0	0
Candidatus Phycorickettsia	0	1	1
Candidatus Phytoplasma	1	0	0
Candidatus Planktophila	0	3	3
Candidatus Portiera	0	3	0
Candidatus Profftella	0	1	0
Candidatus Promineofilum	1	0	0
Candidatus Protochlamydia	0	0	1
Candidatus Puniceispirillum	5	2	2
Candidatus Purcelliella	1	0	0
Candidatus Riesia	0	1	0
Candidatus Ruthia	1	2	1
Candidatus Sulcia	2	1	3
Candidatus Thioglobus	23	4	2
Candidatus Vesicomyosocius	1	1	2
Candidatus Walczuchella	1	0	0
Capnocytophaga	5	2	5
Cardiobacterium	0	0	1
Carnobacterium	1	1	2
Catenovulum	3	3	3
Caulobacter	1	0	1
Cedecea	0	0	1
Celeribacter	2	1	1
Cellulophaga	3	6	9
Cellvibrio	2	0	2
Chamaesiphon	0	1	1
Changchengzhania	2	0	4
Chelativorans	1	0	0
Chelatococcus	0	0	1
Chitinibacter	1	1	1
Chlamydia	3	3	2
Chlorobium	1	0	0
Chloroherpeton	0	1	1
Chondrocystis	0	1	0
Chryseobacterium	11	10	17
Chryseoglobus	0	1	0
Chryseolinea	0	1	0
Citrobacter	1	2	1
Citromicrobium	0	1	0
Cloacibacillus	0	1	0
Cloacibacterium	0	0	2
Clostridioides	0	5	1
Clostridium	48	54	62
