#random sampling: 12500
Tax	ERR315856	ERR315858	ERR315857
Acholeplasmatales	1	0	2
Acidaminococcales	0	1	0
Acidiferrobacterales	0	1	0
Acidobacteriales	0	1	0
Actinomycetales	3	1	0
Aeromonadales	3	4	2
Alteromonadales	1295	176	343
Aquificales	3	1	3
Ardenticatenales	1	0	0
Bacillales	84	99	82
Bacteriovoracales	7	7	0
Bacteroidales	4	15	14
Bacteroidetes Order II. Incertae sedis	0	1	0
Bdellovibrionales	1	0	0
Bifidobacteriales	0	0	1
Brachyspirales	3	1	2
Burkholderiales	34	25	26
Calditrichales	3	0	0
Campylobacterales	59	86	72
Candidatus Babeliales	1	0	0
Candidatus Nanopelagicales	0	3	5
Cardiobacteriales	0	0	1
Caulobacterales	1	1	1
Cellvibrionales	19	15	7
Chitinophagales	4	11	8
Chlamydiales	3	3	2
Chlorobiales	1	1	1
Chromatiales	11	4	2
Chroococcales	4	9	8
Clostridiales	75	98	110
Corynebacteriales	7	5	2
Cytophagales	15	17	27
Deferribacterales	2	1	3
Dehalococcoidales	0	0	1
Deinococcales	1	0	0
Desulfobacterales	2	6	6
Desulfovibrionales	1	3	1
Desulfurellales	2	1	0
Desulfuromonadales	1	0	1
Dictyoglomales	0	0	1
Eggerthellales	1	1	0
Emcibacterales	1	0	0
Endomicrobiales	0	1	0
Enterobacterales	100	129	125
Entomoplasmatales	9	13	17
Erysipelotrichales	2	5	6
Flavobacteriales	263	224	325
Frankiales	0	1	0
Fusobacteriales	16	23	12
Gloeoemargaritales	0	0	1
Halanaerobiales	3	5	3
Halobacteriales	0	1	0
Holosporales	4	8	6
Ignavibacteriales	1	1	1
Isosphaerales	1	0	0
Kosmotogales	0	1	0
Lactobacillales	45	38	41
Legionellales	16	32	22
Leptospirales	1	7	5
Marinilabiliales	2	3	6
Methanobacteriales	1	1	1
Methanococcales	2	1	0
Methanomicrobiales	2	0	0
Methanosarcinales	2	0	2
Methylacidiphilales	0	2	1
Methylococcales	1	3	1
Micrococcales	3	5	7
Micromonosporales	0	0	1
Mycoplasmatales	25	49	43
Myxococcales	0	0	1
Nakamurellales	0	1	0
Natranaerobiales	0	0	1
Nautiliales	0	4	4
Neisseriales	14	4	5
Nevskiales	0	1	0
Nitrosomonadales	11	17	15
Nitrosopumilales	1	16	9
Nitrospirales	1	4	2
Nostocales	24	14	12
Oceanospirillales	31	47	34
Opitutales	1	0	0
Orbales	3	2	0
Oscillatoriales	4	5	4
Parachlamydiales	0	0	1
Parvularculales	1	0	1
Pasteurellales	15	19	9
Pelagibacterales	1042	1157	1391
Petrotogales	2	4	2
Pirellulales	3	2	0
Planctomycetales	0	0	1
Pleurocapsales	0	2	1
Propionibacteriales	8	2	1
Pseudomonadales	49	48	37
Rhizobiales	63	119	55
Rhodobacterales	50	58	49
Rhodocyclales	1	1	0
Rhodospirillales	23	26	27
Rickettsiales	35	56	47
Saprospirales	0	1	0
Selenomonadales	0	2	1
Silvanigrellales	2	1	0
Sphingobacteriales	10	20	12
Sphingomonadales	22	26	13
Spirochaetales	2	3	13
Streptomycetales	4	1	2
Streptosporangiales	0	0	1
Sulfolobales	0	1	0
Synechococcales	1623	481	680
Synergistales	0	1	0
Syntrophobacterales	0	1	1
Thermoanaerobacterales	5	15	13
Thermodesulfobacteriales	1	3	3
Thermoproteales	1	0	0
Thermosediminibacterales	0	1	1
Thermotogales	4	10	4
Thiotrichales	21	19	24
Tissierellales	3	5	6
Veillonellales	1	1	1
Vibrionales	45	33	29
Xanthomonadales	3	5	1
