#random sampling: 12500
Tax	ERR315856	ERR315858	ERR315857
Acidobacteria	0	1	0
Actinobacteria	31	21	22
Aquificae	3	1	3
Bacteroidetes	304	301	407
Calditrichaeota	3	0	0
Candidatus Gracilibacteria	0	0	1
Chlamydiae	3	3	3
Chlorobi	1	1	1
Chloroflexi	1	0	1
Crenarchaeota	1	1	0
Cyanobacteria	1658	516	709
Deferribacteres	2	1	3
Deinococcus-Thermus	1	0	0
Dictyoglomi	0	0	1
Elusimicrobia	0	1	0
Euryarchaeota	7	3	3
Firmicutes	233	292	291
Fusobacteria	16	23	12
Ignavibacteriae	1	1	1
Nitrospirae	1	4	2
Planctomycetes	9	6	8
Proteobacteria	3220	2400	2560
Spirochaetes	6	11	20
Synergistetes	0	1	0
Tenericutes	41	69	73
Thaumarchaeota	15	18	14
Thermodesulfobacteria	1	3	3
Thermotogae	6	15	6
Verrucomicrobia	1	3	1
