#random sampling: 12500
Tax	ERR315856	ERR315858	ERR315857
Acaryochloris marina	0	0	1
Acetilactobacillus jinshanensis	0	1	0
Acetobacter aceti	1	1	0
Acetobacter ascendens	1	0	0
Acetobacter ghanensis	1	0	3
Acetobacter sp. KACC 21233	0	0	1
Acetobacter tropicalis	1	0	0
Acetobacteraceae bacterium	0	4	4
Acetobacterium sp. KB-1	0	1	0
Acetobacterium woodii	0	0	1
Acetohalobium arabaticum	0	2	0
Acholeplasma laidlawii	0	0	1
Acholeplasma palmae	0	0	1
Achromobacter insolitus	2	0	1
Achromobacter xylosoxidans	1	0	0
Acidovorax carolinensis	0	1	0
Acinetobacter baumannii	1	0	0
Acinetobacter calcoaceticus	0	0	1
Acinetobacter cumulans	0	0	1
Acinetobacter defluvii	1	0	1
Acinetobacter equi	1	0	0
Acinetobacter lactucae	1	1	0
Acinetobacter larvae	1	0	1
Acinetobacter pittii	1	0	1
Acinetobacter radioresistens	1	0	0
Acinetobacter soli	0	1	0
Acinetobacter sp. 10FS3-1	0	1	0
Acinetobacter sp. ACNIH1	0	0	1
Acinetobacter sp. Marseille-Q1620	0	1	1
Acinetobacter sp. TTH0-4	2	0	0
Acinetobacter sp. WCHA45	1	2	0
Acinetobacter sp. dk386	0	1	0
Acinetobacter tandoii	2	0	1
Actinobacillus equuli	0	1	0
Actinobacteria bacterium IMCC26256	1	0	0
Actinomadura verrucosospora	0	0	1
Actinomyces sp. 432	0	1	0
Actinomyces sp. oral taxon 169	2	0	0
Adhaeribacter sp. KUDC8001	0	0	1
Adhaeribacter swui	0	1	1
Aequorivita sp. H23M31	0	2	1
Aequorivita sublithincola	2	0	1
Aeribacillus pallidus	0	2	0
Aerococcus urinae	1	0	0
Aerococcus urinaeequi	1	0	1
Aeromonas dhakensis	1	0	0
Aeromonas salmonicida	1	0	0
Agarilytica rhodophyticola	2	3	1
Agarivorans gilvus	2	0	1
Aggregatibacter aphrophilus	1	0	0
Agrobacterium rhizogenes	1	0	0
Agrobacterium tumefaciens	0	0	2
Agrobacterium vitis	1	1	0
Agromyces sp. MF30-A	0	0	1
Alcanivorax sp. N3-2A	1	1	0
Algibacter alginicilyticus	2	0	2
Algibacter sp. L1A34	1	3	1
Algibacter sp. L3A6	0	1	2
Algoriphagus machipongonensis	0	0	2
Algoriphagus sanaruensis	0	1	0
Aliiarcobacter faecis	3	1	1
Aliivibrio fischeri	1	0	0
Aliivibrio salmonicida	0	2	0
Aliivibrio wodanis	0	1	1
Alkalihalobacillus clausii	1	0	1
Alkaliphilus oremlandii	0	1	0
Alkalitalea saponilacus	0	0	1
Allofrancisella inopinata	1	0	0
Altererythrobacter epoxidivorans	0	1	0
Altererythrobacter ishigakiensis	0	1	0
Altererythrobacter sp. ZODW24	3	0	0
Alteromonas addita	0	0	1
Alteromonas australica	8	0	11
Alteromonas macleodii	205	7	126
Alteromonas mediterranea	832	11	60
Alteromonas naphthalenivorans	0	0	3
Alteromonas pelagimontana	1	0	0
Alteromonas sp. 76-1	3	0	0
Alteromonas sp. BL110	7	1	4
Alteromonas sp. MB-3u-76	9	0	4
Alteromonas sp. RKMC-009	4	1	0
Alteromonas sp. RW2A1	8	0	2
Amedibacterium intestinale	0	1	0
Aminipila sp. CBA3637	1	0	1
Aminobacter sp. MSH1	1	0	0
Amniculibacterium sp. G2-70	0	1	0
Anabaena sp. 90	0	1	0
